X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3
-86.64408227,32.53952745,1,Alabama,US,2021/03/31 22:29:57+00,32.53952745,-86.64408227,6589,,99,,Autauga,01001,"Autauga, Alabama, US",11793.6601693247,,,84001001,USA
-87.72207058,30.7277499100001,2,Alabama,US,2021/03/31 22:29:57+00,30.72774991,-87.72207058,20505,,301,,Baldwin,01003,"Baldwin, Alabama, US",9185.42874293342,,,84001003,USA
-85.3871286,31.8682630000001,3,Alabama,US,2021/03/31 22:29:57+00,31.868263,-85.3871286,2227,,55,,Barbour,01005,"Barbour, Alabama, US",9021.30762375436,,,84001005,USA
-87.1251146,32.9964206400001,4,Alabama,US,2021/03/31 22:29:57+00,32.99642064,-87.1251146,2542,,58,,Bibb,01007,"Bibb, Alabama, US",11351.254800393,,,84001007,USA
-86.5679059299999,33.9821091800001,5,Alabama,US,2021/03/31 22:29:57+00,33.98210918,-86.56790593,6444,,131,,Blount,01009,"Blount, Alabama, US",11143.7761560544,,,84001009,USA
-85.71265535,32.10030533,6,Alabama,US,2021/03/31 22:29:57+00,32.10030533,-85.71265535,1207,,40,,Bullock,01011,"Bullock, Alabama, US",11949.3119493119,,,84001011,USA
-86.68057478,31.7530009500001,7,Alabama,US,2021/03/31 22:29:57+00,31.75300095,-86.68057478,2097,,66,,Butler,01013,"Butler, Alabama, US",10782.599753188,,,84001013,USA
-85.8263038599999,33.77483727,8,Alabama,US,2021/03/31 22:29:57+00,33.77483727,-85.82630386,14224,,305,,Calhoun,01015,"Calhoun, Alabama, US",12520.5756788874,,,84001015,USA
-85.39072749,32.91360079,9,Alabama,US,2021/03/31 22:29:57+00,32.91360079,-85.39072749,3488,,117,,Chambers,01017,"Chambers, Alabama, US",10488.9637336862,,,84001017,USA
-85.60638968,34.1780598300001,10,Alabama,US,2021/03/31 22:29:57+00,34.17805983,-85.60638968,1806,,43,,Cherokee,01019,"Cherokee, Alabama, US",6894.18231791113,,,84001019,USA
-86.7173256,32.85044126,11,Alabama,US,2021/03/31 22:29:57+00,32.85044126,-86.7173256,4034,,109,,Chilton,01021,"Chilton, Alabama, US",9079.85954803277,,,84001021,USA
-88.2656443,32.02227341,12,Alabama,US,2021/03/31 22:29:57+00,32.02227341,-88.2656443,583,,24,,Choctaw,01023,"Choctaw, Alabama, US",4631.02708713957,,,84001023,USA
-87.83548597,31.6809985900001,13,Alabama,US,2021/03/31 22:29:57+00,31.68099859,-87.83548597,3459,,59,,Clarke,01025,"Clarke, Alabama, US",14643.1292862586,,,84001025,USA
-85.85836077,33.26984193,14,Alabama,US,2021/03/31 22:29:57+00,33.26984193,-85.85836077,1481,,54,,Clay,01027,"Clay, Alabama, US",11190.0264450321,,,84001027,USA
-85.5200589899999,33.6767920400001,15,Alabama,US,2021/03/31 22:29:57+00,33.67679204,-85.52005899,1452,,41,,Cleburne,01029,"Cleburne, Alabama, US",9738.43058350101,,,84001029,USA
-85.98901039,31.3993282600001,16,Alabama,US,2021/03/31 22:29:57+00,31.39932826,-85.98901039,5384,,110,,Coffee,01031,"Coffee, Alabama, US",10286.1946429254,,,84001031,USA
-87.80168544,34.69847452,17,Alabama,US,2021/03/31 22:29:57+00,34.69847452,-87.80168544,6170,,126,,Colbert,01033,"Colbert, Alabama, US",11169.2402382289,,,84001033,USA
-86.99320044,31.4340170300001,18,Alabama,US,2021/03/31 22:29:57+00,31.43401703,-86.99320044,1086,,26,,Conecuh,01035,"Conecuh, Alabama, US",8999.7513880832,,,84001035,USA
-86.2484773899999,32.9369014600001,19,Alabama,US,2021/03/31 22:29:57+00,32.93690146,-86.24847739,942,,24,,Coosa,01037,"Coosa, Alabama, US",8834.28678608272,,,84001037,USA
-86.45050893,31.2477854000001,20,Alabama,US,2021/03/31 22:29:57+00,31.2477854,-86.45050893,4041,,111,,Covington,01039,"Covington, Alabama, US",10907.1769818349,,,84001039,USA
-86.31593104,31.72941803,21,Alabama,US,2021/03/31 22:29:57+00,31.72941803,-86.31593104,1502,,57,,Crenshaw,01041,"Crenshaw, Alabama, US",10906.1864652919,,,84001041,USA
-86.8688803699999,34.1302030300001,22,Alabama,US,2021/03/31 22:29:57+00,34.13020303,-86.86888037,9380,,186,,Cullman,01043,"Cullman, Alabama, US",11197.5933530704,,,84001043,USA
-85.61095742,31.43037123,23,Alabama,US,2021/03/31 22:29:57+00,31.43037123,-85.61095742,4760,,109,,Dale,01045,"Dale, Alabama, US",9680.30586512649,,,84001045,USA
-87.1086671,32.3268810100001,24,Alabama,US,2021/03/31 22:29:57+00,32.32688101,-87.1086671,3513,,148,,Dallas,01047,"Dallas, Alabama, US",9444.56393160555,,,84001047,USA
-85.80782906,34.4594686200001,25,Alabama,US,2021/03/31 22:29:57+00,34.45946862,-85.80782906,8696,,179,,DeKalb,01049,"DeKalb, Alabama, US",12160.0268482654,,,84001049,USA
-86.1441528399999,32.59785413,26,Alabama,US,2021/03/31 22:29:57+00,32.59785413,-86.14415284,9953,,202,,Elmore,01051,"Elmore, Alabama, US",12256.0307355096,,,84001051,USA
-87.15918694,31.1256789,27,Alabama,US,2021/03/31 22:29:57+00,31.1256789,-87.15918694,3860,,74,,Escambia,01053,"Escambia, Alabama, US",10536.9475609423,,,84001053,USA
-86.04051873,34.04567266,28,Alabama,US,2021/03/31 22:29:57+00,34.04567266,-86.04051873,13647,,343,,Etowah,01055,"Etowah, Alabama, US",13344.3501388509,,,84001055,USA
-87.73886638,33.72076938,29,Alabama,US,2021/03/31 22:29:57+00,33.72076938,-87.73886638,2063,,59,,Fayette,01057,"Fayette, Alabama, US",12654.8889706784,,,84001057,USA
-87.84289505,34.4423533400001,30,Alabama,US,2021/03/31 22:29:57+00,34.44235334,-87.84289505,4185,,82,,Franklin,01059,"Franklin, Alabama, US",13344.1744786685,,,84001059,USA
-85.83572839,31.09389027,31,Alabama,US,2021/03/31 22:29:57+00,31.09389027,-85.83572839,2446,,74,,Geneva,01061,"Geneva, Alabama, US",9310.64672071866,,,84001061,USA
-87.9568402199999,32.8550424700001,32,Alabama,US,2021/03/31 22:29:57+00,32.85504247,-87.95684022,904,,34,,Greene,01063,"Greene, Alabama, US",11145.3581555912,,,84001063,USA
-87.63284988,32.76039258,33,Alabama,US,2021/03/31 22:29:57+00,32.76039258,-87.63284988,2162,,73,,Hale,01065,"Hale, Alabama, US",14756.671899529,,,84001065,USA
-85.24267944,31.5114801600001,34,Alabama,US,2021/03/31 22:29:57+00,31.51148016,-85.24267944,1867,,42,,Henry,01067,"Henry, Alabama, US",10851.4966579483,,,84001067,USA
-85.2993959899999,31.1519792400001,35,Alabama,US,2021/03/31 22:29:57+00,31.15197924,-85.29939599,10332,,272,,Houston,01069,"Houston, Alabama, US",9758.03252677509,,,84001069,USA
-85.99750489,34.7814416900001,36,Alabama,US,2021/03/31 22:29:57+00,34.78144169,-85.99750489,6724,,106,,Jackson,01071,"Jackson, Alabama, US",13024.4450470693,,,84001071,USA
-86.8950629999999,33.55554728,37,Alabama,US,2021/03/31 22:29:57+00,33.55554728,-86.895063,74710,,1464,,Jefferson,01073,"Jefferson, Alabama, US",11344.2245582494,,,84001073,USA
-88.09668032,33.7799502400001,38,Alabama,US,2021/03/31 22:29:57+00,33.77995024,-88.09668032,1384,,33,,Lamar,01075,"Lamar, Alabama, US",10025.3531329229,,,84001075,USA
-87.65624729,34.90171875,39,Alabama,US,2021/03/31 22:29:57+00,34.90171875,-87.65624729,9140,,219,,Lauderdale,01077,"Lauderdale, Alabama, US",9856.67914029052,,,84001077,USA
-87.31069453,34.5204149800001,40,Alabama,US,2021/03/31 22:29:57+00,34.52041498,-87.31069453,2926,,94,,Lawrence,01079,"Lawrence, Alabama, US",8887.13400558863,,,84001079,USA
